,N,d,algo,mem
728,100000,2,nmoo,39158.96484375
729,100000,2,pymoo,50365.9453125
730,100000,2,nmoo,38646.15234375
731,100000,2,pymoo,50325.26953125
732,100000,2,nmoo,38843.93359375
733,100000,2,pymoo,50351.6875
734,100000,2,nmoo,39605.796875
735,100000,2,pymoo,50492.9921875
736,100000,2,nmoo,39713.50390625
737,100000,2,pymoo,50408.96875
738,100000,2,nmoo,39713.75390625
739,100000,2,pymoo,50490.08203125
740,100000,3,nmoo,39714.00390625
741,100000,3,pymoo,44538.9453125
742,100000,3,nmoo,39714.15234375
743,100000,3,pymoo,44544.61328125
744,100000,3,nmoo,39714.40234375
745,100000,3,pymoo,44525.77734375
746,100000,3,nmoo,39714.65234375
747,100000,3,pymoo,44497.109375
748,100000,3,nmoo,39714.90234375
749,100000,3,pymoo,44492.87109375
750,100000,3,nmoo,39715.15234375
751,100000,3,pymoo,44470.4921875
752,100000,3,nmoo,39715.40234375
753,100000,3,pymoo,44539.48828125
754,100000,3,nmoo,39715.65234375
755,100000,3,pymoo,44501.76953125
756,100000,3,nmoo,39715.90234375
757,100000,3,pymoo,44523.39453125
758,100000,3,nmoo,39716.15234375
759,100000,3,pymoo,44514.23828125
760,100000,4,nmoo,39716.40234375
761,100000,4,pymoo,41594.24609375
762,100000,4,nmoo,39716.65234375
763,100000,4,pymoo,41598.8203125
764,100000,4,nmoo,39716.90234375
765,100000,4,pymoo,41595.95703125
766,100000,4,nmoo,39717.15234375
767,100000,4,pymoo,41591.96875
768,100000,4,nmoo,39717.40234375
769,100000,4,pymoo,41602.99609375
770,100000,4,nmoo,39717.65234375
771,100000,4,pymoo,41601.62890625
772,100000,4,nmoo,39717.90234375
773,100000,4,pymoo,41615.48046875
774,100000,4,nmoo,39718.15234375
775,100000,4,pymoo,41609.5625
776,100000,4,nmoo,39718.40234375
777,100000,4,pymoo,41609.86328125
778,100000,4,nmoo,39718.65625
779,100000,4,pymoo,41629.59375
780,100000,5,nmoo,39718.90625
781,100000,5,pymoo,40132.75
782,100000,5,nmoo,39719.15625
783,100000,5,pymoo,40136.42578125
784,100000,5,nmoo,39719.40625
