,N,d,algorithm,memory,time
86,100,4,fast_non_dominated_sort,121.33984375,0.0010249614715576172
87,100,4,nmoo,121.33984375,0.0012438297271728516
88,100,4,efficient_non_dominated_sort,121.33984375,0.0006642341613769531
89,100,4,fast_non_dominated_sort,121.33984375,0.0009257793426513672
90,100,5,nmoo,121.33984375,0.003164052963256836
91,100,5,efficient_non_dominated_sort,121.33984375,0.0005559921264648438
92,100,5,fast_non_dominated_sort,121.33984375,0.0008184909820556641
93,100,5,nmoo,121.33984375,0.0035173892974853516
94,100,5,efficient_non_dominated_sort,121.33984375,0.0005543231964111328
95,100,5,fast_non_dominated_sort,121.33984375,0.0008113384246826172
96,100,5,nmoo,121.33984375,0.0024166107177734375
97,100,5,efficient_non_dominated_sort,121.33984375,0.0005764961242675781
98,100,5,fast_non_dominated_sort,121.33984375,0.0008392333984375
99,100,5,nmoo,121.33984375,0.0031614303588867188
100,100,5,efficient_non_dominated_sort,121.33984375,0.0005943775177001953
101,100,5,fast_non_dominated_sort,121.33984375,0.0008459091186523438
102,100,5,nmoo,121.33984375,0.0035698413848876953
103,100,5,efficient_non_dominated_sort,121.33984375,0.0005443096160888672
104,100,5,fast_non_dominated_sort,121.33984375,0.0008034706115722656
105,100,5,nmoo,121.33984375,0.0030984878540039062
106,100,5,efficient_non_dominated_sort,121.33984375,0.0005497932434082031
107,100,5,fast_non_dominated_sort,121.33984375,0.0008330345153808594
108,100,5,nmoo,121.33984375,0.0036056041717529297
109,100,5,efficient_non_dominated_sort,121.34375,0.0005519390106201172
110,100,5,fast_non_dominated_sort,121.34375,0.0009446144104003906
111,100,5,nmoo,121.34375,0.0036208629608154297
112,100,5,efficient_non_dominated_sort,121.34375,0.0005578994750976562
113,100,5,fast_non_dominated_sort,121.34375,0.0010094642639160156
114,100,5,nmoo,121.34375,0.002864837646484375
115,100,5,efficient_non_dominated_sort,121.34375,0.0006632804870605469
116,100,5,fast_non_dominated_sort,121.34375,0.0008087158203125
117,100,5,nmoo,121.34375,0.0033719539642333984
118,100,5,efficient_non_dominated_sort,121.34765625,0.0005559921264648438
119,100,5,fast_non_dominated_sort,121.3515625,0.0008420944213867188
120,100,6,nmoo,121.35546875,0.004856586456298828
121,100,6,efficient_non_dominated_sort,121.359375,0.0006051063537597656
122,100,6,fast_non_dominated_sort,121.359375,0.0007894039154052734
123,100,6,nmoo,121.359375,0.004481792449951172
124,100,6,efficient_non_dominated_sort,121.359375,0.0005717277526855469
125,100,6,fast_non_dominated_sort,121.359375,0.0007944107055664062
126,100,6,nmoo,121.359375,0.004495143890380859
127,100,6,efficient_non_dominated_sort,121.359375,0.0007083415985107422
128,100,6,fast_non_dominated_sort,121.359375,0.0008270740509033203
129,100,6,nmoo,121.359375,0.005162715911865234
130,100,6,efficient_non_dominated_sort,121.359375,0.0005819797515869141
131,100,6,fast_non_dominated_sort,121.359375,0.0007958412170410156
132,100,6,nmoo,121.359375,0.005776405334472656
133,100,6,efficient_non_dominated_sort,121.36328125,0.000591278076171875
134,100,6,fast_non_dominated_sort,121.36328125,0.0007944107055664062
135,100,6,nmoo,121.36328125,0.0039789676666259766
136,100,6,efficient_non_dominated_sort,121.36328125,0.0005884170532226562
137,100,6,fast_non_dominated_sort,121.36328125,0.0009479522705078125
138,100,6,nmoo,121.36328125,0.002729177474975586
139,100,6,efficient_non_dominated_sort,121.36328125,0.0006895065307617188
140,100,6,fast_non_dominated_sort,121.36328125,0.0008158683776855469
141,100,6,nmoo,121.36328125,0.004681825637817383
142,100,6,efficient_non_dominated_sort,121.36328125,0.0006058216094970703
143,100,6,fast_non_dominated_sort,121.36328125,0.0008230209350585938
144,100,6,nmoo,121.36328125,0.0032966136932373047
145,100,6,efficient_non_dominated_sort,121.36328125,0.0005815029144287109
146,100,6,fast_non_dominated_sort,121.36328125,0.0007805824279785156
147,100,6,nmoo,121.36328125,0.003977060317993164
148,100,6,efficient_non_dominated_sort,121.36328125,0.0005674362182617188
149,100,6,fast_non_dominated_sort,121.36328125,0.0007753372192382812
150,100,7,nmoo,121.36328125,0.005818367004394531
151,100,7,efficient_non_dominated_sort,121.36328125,0.0005822181701660156
152,100,7,fast_non_dominated_sort,121.36328125,0.0007579326629638672
153,100,7,nmoo,121.36328125,0.0038623809814453125
154,100,7,efficient_non_dominated_sort,121.36328125,0.0005700588226318359
155,100,7,fast_non_dominated_sort,121.36328125,0.0007708072662353516
156,100,7,nmoo,121.36328125,0.005532503128051758
157,100,7,efficient_non_dominated_sort,121.36328125,0.00060272216796875
158,100,7,fast_non_dominated_sort,121.36328125,0.0008118152618408203
159,100,7,nmoo,121.36328125,0.005064964294433594
160,100,7,efficient_non_dominated_sort,121.36328125,0.0005941390991210938
161,100,7,fast_non_dominated_sort,121.3671875,0.000774383544921875
162,100,7,nmoo,121.3671875,0.006308078765869141
